time,open,high,low,close,tick_volume,spread,real_volume
2025-05-14 18:02:00,3183.07,3183.72,3181.13,3181.13,81,17,0
2025-05-14 18:03:00,3180.52,3181.32,3179.94,3180.4,85,17,0
2025-05-14 18:04:00,3180.59,3180.96,3179.93,3180.24,87,17,0
2025-05-14 18:05:00,3180.13,3182.07,3180.09,3180.09,86,16,0
2025-05-14 18:06:00,3180.06,3182.72,3180.06,3182.58,82,16,0
2025-05-14 18:07:00,3182.64,3183.69,3181.59,3181.59,74,16,0
2025-05-14 18:08:00,3181.57,3182.24,3180.83,3181.95,78,16,0
2025-05-14 18:09:00,3181.68,3182.12,3181.16,3181.75,72,10,0
2025-05-14 18:10:00,3181.89,3182.36,3179.58,3179.7,74,6,0
2025-05-14 18:11:00,3179.64,3181.23,3179.2,3181.07,80,16,0
2025-05-14 18:12:00,3181.09,3181.1,3179.35,3179.76,74,16,0
2025-05-14 18:13:00,3179.97,3179.97,3179.16,3179.7,72,15,0
2025-05-14 18:14:00,3179.75,3180.76,3179.74,3180.34,75,16,0
2025-05-14 18:15:00,3180.44,3181.62,3179.6,3181.21,73,16,0
2025-05-14 18:16:00,3181.32,3181.76,3179.48,3179.51,68,16,0
2025-05-14 18:17:00,3179.47,3182.52,3179.45,3182.41,82,16,0
2025-05-14 18:18:00,3182.44,3183.53,3182.04,3183.36,82,15,0
2025-05-14 18:19:00,3183.37,3184.56,3182.83,3184.3,78,15,0
2025-05-14 18:20:00,3184.43,3185.29,3182.89,3185.29,73,12,0
2025-05-14 18:21:00,3185.18,3186.44,3185.18,3185.38,70,15,0
2025-05-14 18:22:00,3185.36,3185.76,3184.9,3185.22,72,15,0
2025-05-14 18:23:00,3184.94,3185.04,3183.01,3183.49,72,15,0
2025-05-14 18:24:00,3183.39,3184.45,3183.18,3183.62,71,15,0
2025-05-14 18:25:00,3183.55,3184.29,3182.73,3183.43,70,10,0
2025-05-14 18:26:00,3183.46,3186.39,3183.35,3186.35,84,14,0
2025-05-14 18:27:00,3186.33,3186.59,3184.64,3185.67,80,15,0
2025-05-14 18:28:00,3185.74,3186.13,3185.39,3185.71,73,15,0
2025-05-14 18:29:00,3185.66,3185.85,3184.43,3185.67,67,15,0
2025-05-14 18:30:00,3185.52,3186.39,3183.71,3183.75,76,15,0
2025-05-14 18:31:00,3183.72,3183.87,3183.28,3183.48,74,15,0
